Category;Component;Specification;List price;;
Network;NVIDIA ConnectX-7 HEAT;"High-performance dual-port network adapter designed for data centers and enterprise environments. Features: Dual 200Gb QSFP112 Ports: Supports both Ethernet and InfiniBand protocols, offering flexible connectivity options. PCIe 5.0 x16 Interface: Ensures high bandwidth and low latency for demanding applications. Form Factor: Half-Height, Half-Length (HHHL) for compatibility with a wide range of servers.Security Features: Secure Boot enabled; cryptographic functions disabled. Cooling: Equipped with a heatsink for efficient thermal management. Ideal for high-throughput workloads such as AI, HPC, and cloud applications.";1.326,23;;
Chases;LM TEK - RM 4U8G Chassis;"LM TEK - RM 4U8G Chassis - ultimate Space Savings. Achieves 8x GPU capacity in a true 4U chassis, significantly reducing your
data center footprint and lowering operational costs compared to standard 5U+ air-cooled solutions.";992,40;;
Power supply;Power Supply unit; Power supply unit GW-CROS2000C3 Titanium ;238,90;;
Cooling unit;Cooling unit kit 1;"EK-Pro Cooling Unit Kit with LM TEK RM 4U8G Accessories
The EK-Pro Cooling Unit Kit is a high-performance, all-in-one solution designed for advanced custom liquid cooling setups, supporting dual CPUs and up to eight GPUs. This comprehensive kit includes premium components to ensure maximum thermal efficiency, reliability, and ease of installation, now enhanced with LM TEK RM 4U8G power management and fan distribution accessories.
Key Components:
•	EK-Pro Radiator Triple P360 – High-capacity radiator for superior heat dissipation.
•	Delta Fan PFB1212SE-00 – High-static-pressure fans optimized for radiator airflow.
•	M4x45 DIN7984 Screws – Precision mounting hardware for fans and radiator.
•	EK-Pro Pump Reservoir Dual D5 with By-pass – Powerful and silent pump with integrated reservoir and bypass for flexible loop design.
•	EK-Pro Manifold 2CPU 8GPU - Acetal – Advanced distribution manifold for dual CPU and multi-GPU setups.
•	EK-Loop Smart Control & Connect Temperature Plug Sensor – Intelligent monitoring and control for loop temperatures and flow.
•	EK-Pro G1/4 Barb Fittings & Hose Clamps – Nickel-plated fittings with secure 17mm OD clamps for leak-free connections.
•	EK-PLUG G1/4 & EK-Quantum Torque Rotary 90° / Extender Static MF 28 – Versatile plug and rotary/extender fittings for complex routing.
•	CPC QDC Quick Disconnects (PLQ4D47004BLU / PLQ4D17006BLU) – Tool-free connection for fast maintenance and modularity.
•	EK-Loop ZMT Soft Tube 10/16mm, 1m – Black – Premium, flexible tubing for reliable flow and easy routing.
•	EK-CryoFuel Clear (Premix 1000mL) – High-performance coolant for long-lasting corrosion protection and optimal heat transfer.
•	EK-Pro CPU WB SP5 Ni + Acetal & EK-PRO GPU WB H200 NVL – Precision-engineered water blocks for superior CPU and GPU cooling.
LM TEK RM 4U8G Accessories:
•	LM TEK RM 4U8G Power Cables – Optimized power distribution for high-density GPU setups.
•	LM TEK Fan Splitter RM 4U8G 200 / 300 / 400 – Flexible fan distribution for precise airflow management across the chassis.
•	RM 4U8G PDB - 7000400 GW CRPS2000W – High-capacity power distribution board for reliable operation of multiple GPUs and system components.
Description:
This kit delivers a complete liquid cooling solution for high-performance workstations or gaming systems. Engineered with precision, it ensures optimal thermal management for multi-GPU and dual-CPU configurations. The inclusion of LM TEK RM 4U8G power and fan management accessories further enhances system reliability, modularity, and ease of maintenance. Every component is designed for efficiency, quiet operation, and durability, making this kit ideal for enthusiasts and professionals seeking ultimate cooling performance and power management in a high-density system.";3.498,16;;
Cooling unit;Cooling unit kit 2;"EK-Pro Cooling Unit Kit with LM TEK RM 4U8G Accessories
The EK-Pro Cooling Unit Kit is a high-performance, all-in-one solution designed for advanced custom liquid cooling setups, supporting dual CPUs and up to eight GPUs. This comprehensive kit includes premium components to ensure maximum thermal efficiency, reliability, and ease of installation, now enhanced with LM TEK RM 4U8G power management and fan distribution accessories.
Key Components:
•	EK-Pro Radiator Triple P360 – High-capacity radiator for superior heat dissipation.
•	Delta Fan PFB1212SE-00 – High-static-pressure fans optimized for radiator airflow.
•	M4x45 DIN7984 Screws – Precision mounting hardware for fans and radiator.
•	EK-Pro Pump Reservoir Dual D5 with By-pass – Powerful and silent pump with integrated reservoir and bypass for flexible loop design.
•	EK-Pro Manifold 2CPU 8GPU - Acetal – Advanced distribution manifold for dual CPU and multi-GPU setups.
•	EK-Loop Smart Control & Connect Temperature Plug Sensor – Intelligent monitoring and control for loop temperatures and flow.
•	EK-Pro G1/4 Barb Fittings & Hose Clamps – Nickel-plated fittings with secure 17mm OD clamps for leak-free connections.
•	EK-PLUG G1/4 & EK-Quantum Torque Rotary 90° / Extender Static MF 28 – Versatile plug and rotary/extender fittings for complex routing.
•	CPC QDC Quick Disconnects (PLQ4D47004BLU / PLQ4D17006BLU) – Tool-free connection for fast maintenance and modularity.
•	EK-Loop ZMT Soft Tube 10/16mm, 1m – Black – Premium, flexible tubing for reliable flow and easy routing.
•	EK-CryoFuel Clear (Premix 1000mL) – High-performance coolant for long-lasting corrosion protection and optimal heat transfer.
•	EK-Pro CPU WB SP5 Ni + Acetal & EK-PRO GPU WB H200 NVL – Precision-engineered water blocks for superior CPU and GPU cooling.
LM TEK RM 4U8G Accessories:
•	LM TEK RM 4U8G Power Cables – Optimized power distribution for high-density GPU setups.
•	LM TEK Fan Splitter RM 4U8G 200 / 300 / 400 – Flexible fan distribution for precise airflow management across the chassis.
•	RM 4U8G PDB - 7000400 GW CRPS2000W – High-capacity power distribution board for reliable operation of multiple GPUs and system components.
Description:
This kit delivers a complete liquid cooling solution for high-performance workstations or gaming systems. Engineered with precision, it ensures optimal thermal management for multi-GPU and dual-CPU configurations. The inclusion of LM TEK RM 4U8G power and fan management accessories further enhances system reliability, modularity, and ease of maintenance. Every component is designed for efficiency, quiet operation, and durability, making this kit ideal for enthusiasts and professionals seeking ultimate cooling performance and power management in a high-density system.";3.933,74;;
Cooling unit;Cooling unit kit 3;"EK-Pro Cooling Unit Kit with LM TEK RM 4U8G Accessories
The EK-Pro Cooling Unit Kit is a high-performance, all-in-one solution designed for advanced custom liquid cooling setups, supporting dual CPUs and up to eight GPUs. This comprehensive kit includes premium components to ensure maximum thermal efficiency, reliability, and ease of installation, now enhanced with LM TEK RM 4U8G power management and fan distribution accessories.
Key Components:
•	EK-Pro Radiator Triple P360 – High-capacity radiator for superior heat dissipation.
•	Delta Fan PFB1212SE-00 – High-static-pressure fans optimized for radiator airflow.
•	M4x45 DIN7984 Screws – Precision mounting hardware for fans and radiator.
•	EK-Pro Pump Reservoir Dual D5 with By-pass – Powerful and silent pump with integrated reservoir and bypass for flexible loop design.
•	EK-Pro Manifold 2CPU 8GPU - Acetal – Advanced distribution manifold for dual CPU and multi-GPU setups.
•	EK-Loop Smart Control & Connect Temperature Plug Sensor – Intelligent monitoring and control for loop temperatures and flow.
•	EK-Pro G1/4 Barb Fittings & Hose Clamps – Nickel-plated fittings with secure 17mm OD clamps for leak-free connections.
•	EK-PLUG G1/4 & EK-Quantum Torque Rotary 90° / Extender Static MF 28 – Versatile plug and rotary/extender fittings for complex routing.
•	CPC QDC Quick Disconnects (PLQ4D47004BLU / PLQ4D17006BLU) – Tool-free connection for fast maintenance and modularity.
•	EK-Loop ZMT Soft Tube 10/16mm, 1m – Black – Premium, flexible tubing for reliable flow and easy routing.
•	EK-CryoFuel Clear (Premix 1000mL) – High-performance coolant for long-lasting corrosion protection and optimal heat transfer.
•	EK-Pro CPU WB SP5 Ni + Acetal & EK-PRO GPU WB H200 NVL – Precision-engineered water blocks for superior CPU and GPU cooling.
LM TEK RM 4U8G Accessories:
•	LM TEK RM 4U8G Power Cables – Optimized power distribution for high-density GPU setups.
•	LM TEK Fan Splitter RM 4U8G 200 / 300 / 400 – Flexible fan distribution for precise airflow management across the chassis.
•	RM 4U8G PDB - 7000400 GW CRPS2000W – High-capacity power distribution board for reliable operation of multiple GPUs and system components.
Description:
This kit delivers a complete liquid cooling solution for high-performance workstations or gaming systems. Engineered with precision, it ensures optimal thermal management for multi-GPU and dual-CPU configurations. The inclusion of LM TEK RM 4U8G power and fan management accessories further enhances system reliability, modularity, and ease of maintenance. Every component is designed for efficiency, quiet operation, and durability, making this kit ideal for enthusiasts and professionals seeking ultimate cooling performance and power management in a high-density system.";4.362,93;;
Cooling unit;Cooling unit kit 4;"EK-Pro Cooling Unit Kit with LM TEK RM 4U8G Accessories
The EK-Pro Cooling Unit Kit is a high-performance, all-in-one solution designed for advanced custom liquid cooling setups, supporting dual CPUs and up to eight GPUs. This comprehensive kit includes premium components to ensure maximum thermal efficiency, reliability, and ease of installation, now enhanced with LM TEK RM 4U8G power management and fan distribution accessories.
Key Components:
•	EK-Pro Radiator Triple P360 – High-capacity radiator for superior heat dissipation.
•	Delta Fan PFB1212SE-00 – High-static-pressure fans optimized for radiator airflow.
•	M4x45 DIN7984 Screws – Precision mounting hardware for fans and radiator.
•	EK-Pro Pump Reservoir Dual D5 with By-pass – Powerful and silent pump with integrated reservoir and bypass for flexible loop design.
•	EK-Pro Manifold 2CPU 8GPU - Acetal – Advanced distribution manifold for dual CPU and multi-GPU setups.
•	EK-Loop Smart Control & Connect Temperature Plug Sensor – Intelligent monitoring and control for loop temperatures and flow.
•	EK-Pro G1/4 Barb Fittings & Hose Clamps – Nickel-plated fittings with secure 17mm OD clamps for leak-free connections.
•	EK-PLUG G1/4 & EK-Quantum Torque Rotary 90° / Extender Static MF 28 – Versatile plug and rotary/extender fittings for complex routing.
•	CPC QDC Quick Disconnects (PLQ4D47004BLU / PLQ4D17006BLU) – Tool-free connection for fast maintenance and modularity.
•	EK-Loop ZMT Soft Tube 10/16mm, 1m – Black – Premium, flexible tubing for reliable flow and easy routing.
•	EK-CryoFuel Clear (Premix 1000mL) – High-performance coolant for long-lasting corrosion protection and optimal heat transfer.
•	EK-Pro CPU WB SP5 Ni + Acetal & EK-PRO GPU WB H200 NVL – Precision-engineered water blocks for superior CPU and GPU cooling.
LM TEK RM 4U8G Accessories:
•	LM TEK RM 4U8G Power Cables – Optimized power distribution for high-density GPU setups.
•	LM TEK Fan Splitter RM 4U8G 200 / 300 / 400 – Flexible fan distribution for precise airflow management across the chassis.
•	RM 4U8G PDB - 7000400 GW CRPS2000W – High-capacity power distribution board for reliable operation of multiple GPUs and system components.
Description:
This kit delivers a complete liquid cooling solution for high-performance workstations or gaming systems. Engineered with precision, it ensures optimal thermal management for multi-GPU and dual-CPU configurations. The inclusion of LM TEK RM 4U8G power and fan management accessories further enhances system reliability, modularity, and ease of maintenance. Every component is designed for efficiency, quiet operation, and durability, making this kit ideal for enthusiasts and professionals seeking ultimate cooling performance and power management in a high-density system.";4.792,00;;
Cooling unit;Cooling unit kit 5;"EK-Pro Cooling Unit Kit with LM TEK RM 4U8G Accessories
The EK-Pro Cooling Unit Kit is a high-performance, all-in-one solution designed for advanced custom liquid cooling setups, supporting dual CPUs and up to eight GPUs. This comprehensive kit includes premium components to ensure maximum thermal efficiency, reliability, and ease of installation, now enhanced with LM TEK RM 4U8G power management and fan distribution accessories.
Key Components:
•	EK-Pro Radiator Triple P360 – High-capacity radiator for superior heat dissipation.
•	Delta Fan PFB1212SE-00 – High-static-pressure fans optimized for radiator airflow.
•	M4x45 DIN7984 Screws – Precision mounting hardware for fans and radiator.
•	EK-Pro Pump Reservoir Dual D5 with By-pass – Powerful and silent pump with integrated reservoir and bypass for flexible loop design.
•	EK-Pro Manifold 2CPU 8GPU - Acetal – Advanced distribution manifold for dual CPU and multi-GPU setups.
•	EK-Loop Smart Control & Connect Temperature Plug Sensor – Intelligent monitoring and control for loop temperatures and flow.
•	EK-Pro G1/4 Barb Fittings & Hose Clamps – Nickel-plated fittings with secure 17mm OD clamps for leak-free connections.
•	EK-PLUG G1/4 & EK-Quantum Torque Rotary 90° / Extender Static MF 28 – Versatile plug and rotary/extender fittings for complex routing.
•	CPC QDC Quick Disconnects (PLQ4D47004BLU / PLQ4D17006BLU) – Tool-free connection for fast maintenance and modularity.
•	EK-Loop ZMT Soft Tube 10/16mm, 1m – Black – Premium, flexible tubing for reliable flow and easy routing.
•	EK-CryoFuel Clear (Premix 1000mL) – High-performance coolant for long-lasting corrosion protection and optimal heat transfer.
•	EK-Pro CPU WB SP5 Ni + Acetal & EK-PRO GPU WB H200 NVL – Precision-engineered water blocks for superior CPU and GPU cooling.
LM TEK RM 4U8G Accessories:
•	LM TEK RM 4U8G Power Cables – Optimized power distribution for high-density GPU setups.
•	LM TEK Fan Splitter RM 4U8G 200 / 300 / 400 – Flexible fan distribution for precise airflow management across the chassis.
•	RM 4U8G PDB - 7000400 GW CRPS2000W – High-capacity power distribution board for reliable operation of multiple GPUs and system components.
Description:
This kit delivers a complete liquid cooling solution for high-performance workstations or gaming systems. Engineered with precision, it ensures optimal thermal management for multi-GPU and dual-CPU configurations. The inclusion of LM TEK RM 4U8G power and fan management accessories further enhances system reliability, modularity, and ease of maintenance. Every component is designed for efficiency, quiet operation, and durability, making this kit ideal for enthusiasts and professionals seeking ultimate cooling performance and power management in a high-density system.";5.227,00;;
Cooling unit;Cooling unit kit 6;"EK-Pro Cooling Unit Kit with LM TEK RM 4U8G Accessories
The EK-Pro Cooling Unit Kit is a high-performance, all-in-one solution designed for advanced custom liquid cooling setups, supporting dual CPUs and up to eight GPUs. This comprehensive kit includes premium components to ensure maximum thermal efficiency, reliability, and ease of installation, now enhanced with LM TEK RM 4U8G power management and fan distribution accessories.
Key Components:
•	EK-Pro Radiator Triple P360 – High-capacity radiator for superior heat dissipation.
•	Delta Fan PFB1212SE-00 – High-static-pressure fans optimized for radiator airflow.
•	M4x45 DIN7984 Screws – Precision mounting hardware for fans and radiator.
•	EK-Pro Pump Reservoir Dual D5 with By-pass – Powerful and silent pump with integrated reservoir and bypass for flexible loop design.
•	EK-Pro Manifold 2CPU 8GPU - Acetal – Advanced distribution manifold for dual CPU and multi-GPU setups.
•	EK-Loop Smart Control & Connect Temperature Plug Sensor – Intelligent monitoring and control for loop temperatures and flow.
•	EK-Pro G1/4 Barb Fittings & Hose Clamps – Nickel-plated fittings with secure 17mm OD clamps for leak-free connections.
•	EK-PLUG G1/4 & EK-Quantum Torque Rotary 90° / Extender Static MF 28 – Versatile plug and rotary/extender fittings for complex routing.
•	CPC QDC Quick Disconnects (PLQ4D47004BLU / PLQ4D17006BLU) – Tool-free connection for fast maintenance and modularity.
•	EK-Loop ZMT Soft Tube 10/16mm, 1m – Black – Premium, flexible tubing for reliable flow and easy routing.
•	EK-CryoFuel Clear (Premix 1000mL) – High-performance coolant for long-lasting corrosion protection and optimal heat transfer.
•	EK-Pro CPU WB SP5 Ni + Acetal & EK-PRO GPU WB H200 NVL – Precision-engineered water blocks for superior CPU and GPU cooling.
LM TEK RM 4U8G Accessories:
•	LM TEK RM 4U8G Power Cables – Optimized power distribution for high-density GPU setups.
•	LM TEK Fan Splitter RM 4U8G 200 / 300 / 400 – Flexible fan distribution for precise airflow management across the chassis.
•	RM 4U8G PDB - 7000400 GW CRPS2000W – High-capacity power distribution board for reliable operation of multiple GPUs and system components.
Description:
This kit delivers a complete liquid cooling solution for high-performance workstations or gaming systems. Engineered with precision, it ensures optimal thermal management for multi-GPU and dual-CPU configurations. The inclusion of LM TEK RM 4U8G power and fan management accessories further enhances system reliability, modularity, and ease of maintenance. Every component is designed for efficiency, quiet operation, and durability, making this kit ideal for enthusiasts and professionals seeking ultimate cooling performance and power management in a high-density system.";5.663,00;;
Cooling unit;Cooling unit kit 7;"EK-Pro Cooling Unit Kit with LM TEK RM 4U8G Accessories
The EK-Pro Cooling Unit Kit is a high-performance, all-in-one solution designed for advanced custom liquid cooling setups, supporting dual CPUs and up to eight GPUs. This comprehensive kit includes premium components to ensure maximum thermal efficiency, reliability, and ease of installation, now enhanced with LM TEK RM 4U8G power management and fan distribution accessories.
Key Components:
•	EK-Pro Radiator Triple P360 – High-capacity radiator for superior heat dissipation.
•	Delta Fan PFB1212SE-00 – High-static-pressure fans optimized for radiator airflow.
•	M4x45 DIN7984 Screws – Precision mounting hardware for fans and radiator.
•	EK-Pro Pump Reservoir Dual D5 with By-pass – Powerful and silent pump with integrated reservoir and bypass for flexible loop design.
•	EK-Pro Manifold 2CPU 8GPU - Acetal – Advanced distribution manifold for dual CPU and multi-GPU setups.
•	EK-Loop Smart Control & Connect Temperature Plug Sensor – Intelligent monitoring and control for loop temperatures and flow.
•	EK-Pro G1/4 Barb Fittings & Hose Clamps – Nickel-plated fittings with secure 17mm OD clamps for leak-free connections.
•	EK-PLUG G1/4 & EK-Quantum Torque Rotary 90° / Extender Static MF 28 – Versatile plug and rotary/extender fittings for complex routing.
•	CPC QDC Quick Disconnects (PLQ4D47004BLU / PLQ4D17006BLU) – Tool-free connection for fast maintenance and modularity.
•	EK-Loop ZMT Soft Tube 10/16mm, 1m – Black – Premium, flexible tubing for reliable flow and easy routing.
•	EK-CryoFuel Clear (Premix 1000mL) – High-performance coolant for long-lasting corrosion protection and optimal heat transfer.
•	EK-Pro CPU WB SP5 Ni + Acetal & EK-PRO GPU WB H200 NVL – Precision-engineered water blocks for superior CPU and GPU cooling.
LM TEK RM 4U8G Accessories:
•	LM TEK RM 4U8G Power Cables – Optimized power distribution for high-density GPU setups.
•	LM TEK Fan Splitter RM 4U8G 200 / 300 / 400 – Flexible fan distribution for precise airflow management across the chassis.
•	RM 4U8G PDB - 7000400 GW CRPS2000W – High-capacity power distribution board for reliable operation of multiple GPUs and system components.
Description:
This kit delivers a complete liquid cooling solution for high-performance workstations or gaming systems. Engineered with precision, it ensures optimal thermal management for multi-GPU and dual-CPU configurations. The inclusion of LM TEK RM 4U8G power and fan management accessories further enhances system reliability, modularity, and ease of maintenance. Every component is designed for efficiency, quiet operation, and durability, making this kit ideal for enthusiasts and professionals seeking ultimate cooling performance and power management in a high-density system.";6.092,00;;
Cooling unit;Cooling unit kit 8;"EK-Pro Cooling Unit Kit with LM TEK RM 4U8G Accessories
The EK-Pro Cooling Unit Kit is a high-performance, all-in-one solution designed for advanced custom liquid cooling setups, supporting dual CPUs and up to eight GPUs. This comprehensive kit includes premium components to ensure maximum thermal efficiency, reliability, and ease of installation, now enhanced with LM TEK RM 4U8G power management and fan distribution accessories.
Key Components:
•	EK-Pro Radiator Triple P360 – High-capacity radiator for superior heat dissipation.
•	Delta Fan PFB1212SE-00 – High-static-pressure fans optimized for radiator airflow.
•	M4x45 DIN7984 Screws – Precision mounting hardware for fans and radiator.
•	EK-Pro Pump Reservoir Dual D5 with By-pass – Powerful and silent pump with integrated reservoir and bypass for flexible loop design.
•	EK-Pro Manifold 2CPU 8GPU - Acetal – Advanced distribution manifold for dual CPU and multi-GPU setups.
•	EK-Loop Smart Control & Connect Temperature Plug Sensor – Intelligent monitoring and control for loop temperatures and flow.
•	EK-Pro G1/4 Barb Fittings & Hose Clamps – Nickel-plated fittings with secure 17mm OD clamps for leak-free connections.
•	EK-PLUG G1/4 & EK-Quantum Torque Rotary 90° / Extender Static MF 28 – Versatile plug and rotary/extender fittings for complex routing.
•	CPC QDC Quick Disconnects (PLQ4D47004BLU / PLQ4D17006BLU) – Tool-free connection for fast maintenance and modularity.
•	EK-Loop ZMT Soft Tube 10/16mm, 1m – Black – Premium, flexible tubing for reliable flow and easy routing.
•	EK-CryoFuel Clear (Premix 1000mL) – High-performance coolant for long-lasting corrosion protection and optimal heat transfer.
•	EK-Pro CPU WB SP5 Ni + Acetal & EK-PRO GPU WB H200 NVL – Precision-engineered water blocks for superior CPU and GPU cooling.
LM TEK RM 4U8G Accessories:
•	LM TEK RM 4U8G Power Cables – Optimized power distribution for high-density GPU setups.
•	LM TEK Fan Splitter RM 4U8G 200 / 300 / 400 – Flexible fan distribution for precise airflow management across the chassis.
•	RM 4U8G PDB - 7000400 GW CRPS2000W – High-capacity power distribution board for reliable operation of multiple GPUs and system components.
Description:
This kit delivers a complete liquid cooling solution for high-performance workstations or gaming systems. Engineered with precision, it ensures optimal thermal management for multi-GPU and dual-CPU configurations. The inclusion of LM TEK RM 4U8G power and fan management accessories further enhances system reliability, modularity, and ease of maintenance. Every component is designed for efficiency, quiet operation, and durability, making this kit ideal for enthusiasts and professionals seeking ultimate cooling performance and power management in a high-density system.";6.521,00;;
R&D;Research & Development;The EK-Pro Cooling Unit Kit with LM TEK RM 4U8G Accessories was developed to enable advanced research and development in high-density computing environments. Its combination of precision water blocks, high-capacity radiators, and intelligent fan and power management allows for optimal thermal performance and reliable operation of dual-CPU, multi-GPU systems. This integrated solution supports rapid prototyping and testing while ensuring modularity, efficiency, and long-term durability.;1.000,00;;
Assembly ;Server Assembly;Assembly of the server performed by the distributor;1.000,00;;
